"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000219928.2",6.7415176119037,3.15638971462545,60.1517078891764,1.32029988809216e-130,7.98755026297997e-126,287.282991634652
"ENSG00000279473.1",5.5816674461007,2.11718420369337,52.9868124410965,3.55336081799829e-120,1.0748561138363e-115,263.712982435097
"ENSG00000240854.1",3.89963471395873,1.72391301293407,50.842828351756,8.15548471298772e-117,1.6446350472211e-112,256.092527168072
"ENSG00000206228.4",4.11036347749131,1.96049520129098,46.0544378647354,7.52130413499678e-109,1.13755964389759e-104,237.990559009299
"ENSG00000226781.1",4.13422239602215,2.70877358222718,38.7224287201376,3.15814961077036e-95,3.8212347030477e-91,206.915570155186
"ENSG00000241431.1",4.08396816102617,1.81406207867213,37.6484713328992,4.58471867992244e-93,4.62277184496579e-89,201.973425587728
"ENSG00000204253.4",3.86754842051763,6.13419538571671,37.4102829940926,1.40309853433777e-92,1.2126379304338e-88,200.862570124873
"ENSG00000213228.5",3.76630912325223,1.90295474289597,37.2677503789124,2.74718867167918e-92,2.07749275324059e-88,200.195229999296
"ENSG00000254759.1",3.82216441704164,2.48811383314325,35.6179094364952,7.55706256659443e-89,5.07985745726478e-85,192.325951171806
"ENSG00000236058.3",4.17010274827799,3.06247666407824,34.9433652194165,2.08070921737577e-87,1.25878746232799e-83,189.029917121167
"ENSG00000224126.2",5.83459333909112,3.12067934067801,33.2545784718843,1.02833879118481e-83,5.65567638082713e-80,180.569705629117
"ENSG00000234743.1",4.58740010111673,2.74940411803247,33.028218779022,3.28991311429149e-83,1.65860969657005e-79,179.412535089893
"ENSG00000217325.2",3.77464763166499,2.4971228154044,32.8701703950086,7.43424791121801e-83,3.45967023179129e-79,178.601264284113
"ENSG00000171401.14",-6.85105307704064,4.59625322138368,-32.6897094752852,1.89204494145199e-82,8.17606677628302e-79,177.671599600983
"ENSG00000213371.4",3.14506906965503,1.48347789560533,31.6980189332382,3.41965782590579e-80,1.37921639434432e-76,172.498293174267
"ENSG00000236060.2",4.56205016455903,2.45659002645053,31.4988684671342,9.83896932874201e-80,3.72023729031396e-76,171.446073415895
"ENSG00000225558.1",2.8965171219585,1.30520176781771,30.7686570200102,4.92520996032125e-78,1.75273736576185e-74,167.549217377907
"ENSG00000229119.3",4.89673610062624,7.60919152976292,30.4301806695914,3.08415956399262e-77,1.03658602945792e-73,165.722024473859
"ENSG00000170477.12",-5.8830341973571,3.74122675022447,-30.3581756724107,4.56417137903769e-77,1.45328021099485e-73,165.331599145542
"ENSG00000229237.2",3.05691039120978,1.34013523987478,30.1129015288916,1.74245864924826e-76,5.27076316811107e-73,163.997117887733
"ENSG00000216866.5",3.97074176014188,4.64082160086389,30.0851901095103,2.0280826107843e-76,5.84261627558232e-73,163.845902199457
"ENSG00000235776.2",3.3609212025249,3.97836111529035,29.8507743706461,7.35012768821955e-76,1.99251207208312e-72,162.563120806451
"ENSG00000230734.1",3.28990699535823,1.45307265888519,29.8452998895626,7.57508969848786e-76,1.99251207208312e-72,162.533085523107
"ENSG00000249264.1",3.51960318295552,4.05259563808877,29.7221806118067,1.49363676805923e-75,3.7650848830853e-72,161.85666432665
"ENSG00000235734.4",2.64491319848734,1.12757173554321,28.765178370856,3.10914483985522e-73,7.52388178086245e-70,156.537166245827
"ENSG00000279307.1",3.35508571375258,3.04242275959135,28.5132713774639,1.29055813189258e-72,3.00293022550912e-69,155.118594314865
"ENSG00000218502.3",2.62262023916149,1.10184987138732,28.4814275648833,1.54579731832822e-72,3.46361652460077e-69,154.938722352271
"ENSG00000136546.13",-6.45942441249227,5.64602617874736,-28.3165992558105,3.94167905925833e-72,8.51656070453608e-69,154.005703516943
