"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-40C6.2",7.53956228571896,5.45898260198112,114.524314531257,0,0,1121.85485783158
"RP11-64K7.1",4.38617937381882,3.01537553795839,82.6147501447515,0,0,885.416723199395
"HNRNPCP2",3.89299849835443,7.35031773861973,81.705655936109,0,0,877.621218533402
"EIF5AP4",5.59426705326347,4.63000372999106,81.0266477804113,0,0,871.638176037582
"UBE2SP2",6.36288982700576,5.16491476423848,77.651266623658,0,0,841.852268099892
"HMGN1P37",3.95075621034208,2.82148977596102,72.8781144247006,0,0,798.16641138422
"KANK3",-4.86182831643899,8.17138633445936,-71.7001830102974,0,0,786.887311934858
"RP11-286H15.1",-7.07448271454216,4.53581396627278,-70.3196461899357,0,0,773.651469972211
"RP1-18D14.7",-5.88233302124489,3.84014322234442,-69.5368734276911,0,0,766.062086957348
"RP3-523K23.2",7.85527536384213,6.5580341715084,68.9689320466143,0,0,760.51675706497
"ADCY4",-4.44207275217131,9.15639092310681,-68.3535294805082,0,0,754.470778581037
"NEK2",5.53004370861521,7.79021769384398,67.9880791510835,0,0,750.861965330947
"SERPINB5",9.43706669126719,8.75172605330665,67.9396428041325,0,0,750.382619189564
"YWHAZP4",4.38834648349663,4.63337858887854,67.7013042284975,0,0,748.098723389953
"CENPA",4.94226543651454,7.14424201480458,67.4607222431997,0,0,745.629883705488
"TFAP2A",6.33654703641477,8.26499593087861,66.4816510674289,0,0,735.838917362319
"GINS1",5.07179720379029,8.1730930249716,66.309626284129,0,0,734.108164860791
"MAD2L1",4.2541887078888,8.93890869297569,65.943045216201,3.95252516672997e-323,1.09341668081126e-319,730.409463114889
"TPX2",5.1693739527241,10.2195426928271,65.9336422795944,4.94065645841247e-323,1.29479783805615e-319,730.314401474008
"TTK",5.12175112457529,8.00649479996734,65.8907649663867,6.91691904177745e-323,1.72211521514425e-319,729.880801350095
"YWHAZP5",4.82129359367791,5.0628677748792,65.8685438816559,8.89318162514244e-323,2.10872158301502e-319,729.656011570186
"FAM83B",7.63209846680904,6.64719039611008,65.6578970592971,7.50979781678695e-322,1.6997389820441e-318,727.522469623509
"KIF4A",5.16516046352701,8.43011635365464,65.5195236615424,3.06320700421573e-321,6.63170976640268e-318,726.118360514857
"ITGA10",-5.1302147631445,7.78155492544057,-65.3079884362795,2.6412749426673e-320,5.47998543433181e-317,723.967879525482
"TRIP13",4.89778518920904,8.9070222354659,64.9027062847357,1.65741237816488e-318,3.30116768011232e-315,719.834262510624
"NCAPH",4.46465562349364,8.49424497301213,64.7662642133839,6.70443128881405e-318,1.28400173690464e-314,718.438637917449
"CCNB2",4.40682894081845,9.04552774433135,64.4788418469766,1.28162525743299e-316,2.36360178033018e-313,715.492057750553
"CCNB1",4.38555018652713,9.67824559512196,64.4632252649255,1.50485666549147e-316,2.67617260005294e-313,715.331702738536
"MYBL2",5.36783588051007,9.79219630029283,64.3364748880533,5.54512087519068e-316,9.52116375376536e-313,714.029212757646
"CDC20",5.19041458310927,9.34641052003586,64.0864688423306,7.30053238960966e-315,1.21174236602751e-311,711.454993361316
"KIF11",4.18375470689033,9.26215611247251,64.0421334107961,1.15393981234676e-314,1.8535251295483e-311,710.997772846581
"EXO1",5.03919234621953,7.46226404756018,63.9872907889931,2.03358321003995e-314,3.16438257377279e-311,710.431895727771
"TCF21",-6.24373861170391,8.75931850209644,-63.6168142147447,9.42626575309519e-313,1.42233780881704e-309,706.600578336779
"NOSTRIN",-4.19277898912738,8.11366726918773,-63.138327025517,1.36729034844714e-310,2.00243692972286e-307,701.629826408897
"DEPDC1",5.59173357573999,7.51581824276127,62.9172124248684,1.3754332797351e-309,1.95680927803227e-306,699.324199249638
"PRR11",4.1506323157325,8.17907125890182,62.8651907362139,2.36951146419112e-309,3.27742927355369e-306,698.780962665538
"OIP5",4.7295200601817,6.46282428415515,62.8268837446991,3.5374156458653e-309,4.76059661270856e-306,698.380748917747
"KIF2C",4.38508489948249,8.96665481424634,62.6978582816259,1.36573199326726e-308,1.78961207559868e-305,697.031545629732
"UBE2C",5.04897600540048,9.20668560774214,62.6125405422681,3.34000992415792e-308,4.26442190162871e-305,696.138366914562
"AURKA",3.97846622612088,8.88114390757894,62.5598384038525,5.80542193308608e-308,7.22687949340221e-305,695.586229210598
"DSP",4.86536153474029,13.335582249107,62.467182315608,1.53552699708556e-307,1.86487881202142e-304,694.614757008267
"CDCA8",4.1439403823881,8.81638775739284,62.4382832681294,2.08015077101151e-307,2.46616732123207e-304,694.311562044849
"AUNIP",4.13170801737156,6.37211525018142,62.3904922248082,3.43721208108653e-307,3.98029158989821e-304,693.809955790873
"BIRC5",5.19075082179146,9.67220240282829,61.977546205354,2.66354376286464e-305,3.0142840483655e-302,689.465056635093
"MCM4",3.64465699190028,11.2495834555877,61.8983957121913,6.14508117454404e-305,6.79973715567213e-302,688.630064058323
"FERMT1",5.51172057999777,9.27523052762235,61.865980597906,8.65577456579806e-305,9.3696877984641e-302,688.287898925694
"USHBP1",-4.16058760909369,7.16706805974093,-61.8574405323653,9.47352327792682e-305,1.00366940021508e-301,688.197732560701
"CEP55",5.12907005286905,8.67186323967739,61.8286530837479,1.2843835552338e-304,1.33238739061066e-301,687.89373277634
"FCN3",-7.16145826410826,9.58878420939423,-61.6533929579491,8.20939446432371e-304,8.34242016237826e-301,686.040937180412
"GPR87",8.7246235396075,7.30371763556855,61.5832488505766,1.72648804068004e-303,1.71937490995243e-300,685.298420891301
"RP11-204C16.4",4.42348167808217,4.75868363688312,61.4919327056146,4.54806209912819e-303,4.44051380713704e-300,684.330950287501
"ARHGAP6",-4.62985933479375,7.83686788789971,-61.2022986959663,9.88065038356755e-302,9.46148279229544e-299,681.256086164909
"CKAP2L",4.79352906892751,7.77400200377262,61.1585153651367,1.57488995450122e-301,1.47962396970629e-298,680.790435029434
"SLC2A1",5.39300899746145,12.8748029312356,61.1351202474062,2.02056881049876e-301,1.86318895092547e-298,680.54153014428
"MCM2",4.15182674508492,10.8802513478861,60.7007561920418,2.08791228083131e-299,1.89028189294026e-296,675.908896631962
"GPR17",-6.12596417592975,4.8439145071377,-60.6174956701747,5.09186283786039e-299,4.52757532407894e-296,675.018429245762
"PVRL1",5.11758425526671,12.0048682673848,60.524470614435,1.37991987503203e-298,1.20546895188324e-295,674.022589585596
"DLGAP5",5.10065937890174,8.1321647811871,60.4574476063311,2.83187068299958e-298,2.43120980671174e-295,673.304487478565
"ANLN",4.95640273576882,9.60216754305705,60.396480941016,5.44846677830052e-298,4.59832126709654e-295,672.650825994701
"INMT",-6.12783261312262,9.95675456025902,-60.3762256459588,6.77231134524907e-298,5.62034118542221e-295,672.433561753275
"CHEK1",3.23890732211293,8.77600428073678,60.3313346571677,1.0968908589614e-297,8.95386613624984e-295,671.951879503627
"RPL12P38",3.66045829237083,2.85919644786973,60.264591011172,2.02789068966774e-297,1.62865788711799e-294,671.337927370607
"UBE2T",4.10045746508522,8.44387299652759,60.2203531078006,3.61699925119118e-297,2.85880731291768e-294,670.760046294581
"DEPDC1B",4.71086088511754,7.1880009138124,60.1951463755985,4.7438074550544e-297,3.69083044401529e-294,670.489152792642
"KCNMB2-AS1",6.65918006092745,4.69021235537765,59.9750002876874,5.08288958196341e-296,3.89380621298902e-293,668.120153347651
"GABRA3",7.33267427637631,5.09080111632402,59.796929547577,3.47547106025351e-295,2.62208493900399e-292,666.199828021764
"PERP",4.17519839364089,13.89341426643,59.7042459863361,9.4667163071536e-295,7.03560704176726e-292,665.198869236113
"NUF2",4.63878912137215,7.99308042117039,59.6758827404161,1.28665504173042e-294,9.42172075704772e-292,664.892354287747
"ADAMTS7P3",-6.7578823309162,5.24942973587873,-59.5892902223212,3.28519567912881e-294,2.37076860357304e-291,663.95599140436
"CDC45",5.04312593994965,8.19637230324867,59.3238396482822,5.84629686797829e-293,4.15872151777301e-290,661.080125082481
"CENPF",4.94049877344622,9.92748527373822,59.3168822154999,6.30520738630175e-293,4.42199290976774e-290,661.004638578901
"VIP",-4.99978597011469,3.5369759418384,-59.2553828419077,1.22998781434298e-292,8.50639072602697e-290,660.337139474823
"ABCA12",7.54739280380838,6.29692015789564,59.2497744589488,1.30729915543982e-292,8.81656464384491e-290,660.276245517219
"MCM10",4.74667967831238,7.49760161826188,59.2495670450652,1.31024979645042e-292,8.81656464384491e-290,660.273993415872
"CDCA5",4.29819881899332,9.22605451841765,59.0848516362613,7.86317207500096e-292,5.22051720403464e-289,658.483926948351
"TAL1",-4.68520760468465,7.65096767042339,-58.9972885752559,2.04113808001369e-291,1.33732144152897e-288,657.531033312563
"SGOL1",4.38034897277727,6.49776746210651,58.9544316902235,3.25669095963444e-291,2.1060216836888e-288,657.064321931493
"PTH1R",-4.64742416870647,7.09306681504939,-58.9215931542597,4.659209285671e-291,2.97436752782951e-288,656.706564880317
"AOC4P",-5.03914624728209,4.42143225653386,-58.9131303459809,5.10980259222453e-291,3.22072797819276e-288,656.614346967254
"SKA1",4.75526061523827,7.13795311283049,58.9036385033231,5.66728843417369e-291,3.52746200364056e-288,656.510905847178
"SLC11A1",-4.90269883858539,11.2312934162946,-58.8653359396477,8.60784831371096e-291,5.29159504855461e-288,656.093381257506
